precinct,latitude,longitude,dem_1996,rep_1996,oth_1996,tot_1996,pct_1996,dem_2000,rep_2000,oth_2000,tot_2000,pct_2000,dem_2004,rep_2004,oth_2004,tot_2004,pct_2004,dem_2008,rep_2008,oth_2008,tot_2008,pct_2008,dem_2012,rep_2012,oth_2012,tot_2012,pct_2012,dem_2016,rep_2016,oth_2016,tot_2016,pct_2016,dem_2020,rep_2020,oth_2020,tot_2020,pct_2020
precinct_409,-77.58671858,37.545810570000000,792,1355,111,2258,0.368886819,905,1220,55,2180,0.425882353,1037,1235,16,2288,0.456426056,1255,1087,26,2368,0.535866781,1233,1118,42,2393,0.524457678,1443,956,174,2573,0.601500625,236,344,17,597,0.406896552
precinct_410,-77.53427806,37.535892680000003,765,1022,82,1869,0.428091774,928,1000,54,1982,0.481327801,1078,1000,14,2092,0.518768046,1397,826,28,2251,0.628430049,1002,491,18,1511,0.671131949,1044,410,92,1546,0.718019257,417,232,26,675,0.642526965
precinct_412,-77.51759458,37.523982570000001,711,394,81,1186,0.643438914,785,371,31,1187,0.679065744,664,367,9,1040,0.644034918,959,252,17,1228,0.791907514,961,343,25,1329,0.73696319,1018,306,87,1411,0.768882175,426,169,24,619,0.715966387
precinct_413,-77.51739508,37.544592809999997,537,882,69,1488,0.378435518,624,642,53,1319,0.492890995,1028,1152,14,2194,0.471559633,1131,1031,12,2174,0.523126735,761,624,13,1398,0.549458484,904,429,106,1439,0.678169542,224,216,15,455,0.509090909
precinct_414,-77.5471576,37.551649769999997,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,864,754,26,1644,0.533992583,900,559,125,1584,0.616860864,266,316,16,598,0.457044674
precinct_415,-77.5698316,37.543472090000002,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,212,280,16,508,0.430894309
precinct_501,-77.48446485,37.549459589999998,981,161,60,1202,0.859019264,927,193,90,1210,0.827678571,1081,237,25,1343,0.820182094,1244,208,23,1475,0.856749311,1378,295,58,1731,0.823670054,1528,215,132,1875,0.876649455,486,149,35,670,0.765354331
precinct_503,-77.47792736,37.537659400000003,1378,139,82,1599,0.908371786,1283,107,33,1423,0.923021583,1255,148,2,1405,0.894511761,1567,156,10,1733,0.909460244,1239,179,34,1452,0.873765867,1553,140,97,1790,0.917306556,590,98,27,715,0.85755814
precinct_504,-77.4644024,37.546088740000002,836,133,54,1023,0.862745098,838,125,112,1075,0.8701973,1403,255,25,1683,0.846200241,1863,262,31,2156,0.876705882,1710,261,58,2029,0.867579909,1931,261,215,2407,0.880930657,736,134,40,910,0.845977011
precinct_505,-77.45735162,37.535761280000003,239,63,55,357,0.791390728,203,83,85,371,0.70979021,458,121,9,588,0.791018998,716,138,16,870,0.838407494,1073,162,48,1283,0.868825911,897,138,106,1141,0.866666667,389,82,16,487,0.825902335
precinct_508,-77.46149399,37.523550040000003,444,230,53,727,0.658753709,468,191,63,722,0.71016692,602,216,7,825,0.73594132,685,175,9,869,0.796511628,675,175,17,867,0.794117647,713,132,92,937,0.843786982,298,106,20,424,0.737623762
precinct_509,-77.4780573,37.511083200000002,779,102,49,930,0.884222474,815,103,38,956,0.887799564,1013,117,2,1132,0.896460177,1327,73,6,1406,0.947857143,1314,62,19,1395,0.95494186,1231,73,56,1360,0.944018405,512,55,10,577,0.902998236
precinct_510,-77.46123179,37.514597629999997,987,84,71,1142,0.921568627,967,88,30,1085,0.916587678,1018,140,9,1167,0.8791019,1345,85,6,1436,0.940559441,1476,108,18,1602,0.931818182,1279,99,103,1481,0.928156749,586,91,23,700,0.865583456
precinct_602,-77.42048498,37.550297909999998,458,14,18,490,0.970338983,387,12,9,408,0.969924812,764,27,4,795,0.965865992,1230,8,3,1241,0.993537964,1272,7,3,1282,0.994526974,970,13,34,1017,0.986775178,462,24,18,504,0.950617284
precinct_603,-77.42913213,37.561135620000002,725,33,23,781,0.95646438,680,45,10,735,0.937931034,717,58,0,775,0.92516129,854,19,5,878,0.978235968,998,22,15,1035,0.978431373,1082,30,43,1155,0.973021583,502,38,11,551,0.92962963
